data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_601.csv,42,0.0004508545010380511,0.0,1,155,18,119,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_601.csv,42,0.004508545010380511,0.0,1,138,18,95,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_601.csv,42,0.04508545010380511,0.0,1,7,5,83,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_534.csv,43,4.563814571940629e-05,0.0,4,95,23,225,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_534.csv,43,0.0004563814571940629,0.0,1,143,17,110,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_534.csv,43,0.004563814571940629,0.0,1,72,16,72,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_534.csv,43,0.04563814571940629,0.0,1,16,10,44,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_142.csv,44,4.5609452703748007e-05,0.0,3,159,17,299,31
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_142.csv,44,0.00045609452703748005,0.0,1,128,21,177,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_142.csv,44,0.004560945270374801,0.0,1,131,21,129,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_142.csv,44,0.045609452703748006,0.0,1,6,6,4,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_690.csv,45,4.5677988241896996e-05,0.0,6,520,20,338,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_690.csv,45,0.00045677988241896996,0.0,2,192,23,133,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_690.csv,45,0.0045677988241897,0.0,1,139,19,137,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_690.csv,45,0.045677988241897,0.0,1,36,8,83,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_225.csv,46,4.551172019728502e-05,0.0,4,142,16,325,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_225.csv,46,0.0004551172019728502,0.0,1,146,19,186,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_225.csv,46,0.004551172019728502,0.0,1,122,16,284,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_225.csv,46,0.04551172019728502,0.0,1,10,8,8,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_416.csv,47,4.562902699889191e-05,0.0,7,140,16,259,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_416.csv,47,0.0004562902699889191,0.0,2,151,15,142,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_416.csv,47,0.004562902699889191,0.0,1,107,17,101,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_416.csv,47,0.04562902699889191,0.0,1,18,7,43,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_471.csv,48,4.526417057045106e-05,0.0,4,112,20,301,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_471.csv,48,0.00045264170570451055,0.0,1,212,25,212,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_471.csv,48,0.004526417057045106,0.0,1,129,24,226,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_471.csv,48,0.04526417057045106,0.0,1,58,13,105,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_493.csv,49,4.546316391602447e-05,0.0,3,186,20,340,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_493.csv,49,0.0004546316391602447,0.0,1,128,19,175,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_493.csv,49,0.0045463163916024465,0.0,1,88,17,140,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_493.csv,49,0.04546316391602447,0.0,1,14,6,88,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_917.csv,50,4.5580460916776894e-05,0.0,5,153,23,200,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_917.csv,50,0.0004558046091677689,0.0,1,170,19,121,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_917.csv,50,0.0045580460916776885,0.0,1,107,16,123,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_917.csv,50,0.045580460916776894,0.0,1,25,8,31,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_315.csv,51,4.5613009807415295e-05,0.0,3,193,21,365,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_315.csv,51,0.000456130098074153,0.0,1,146,21,270,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_315.csv,51,0.0045613009807415296,0.0,2,120,18,261,20
