data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_858.csv,31,4.5616412307309434e-05,0.0,5,432,25,445,25,197,16,116,40
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_858.csv,31,0.0004561641230730943,0.0,1,195,21,276,25,174,25,43,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_858.csv,31,0.004561641230730943,0.0,1,150,26,237,22,109,20,51,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_858.csv,31,0.04561641230730943,0.0,1,6,3,225,3,231,3,155,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_341.csv,32,4.564919885716592e-05,0.0,6,341,18,203,27,295,21,131,39
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_341.csv,32,0.0004564919885716592,0.0,1,143,19,150,26,101,21,36,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_341.csv,32,0.004564919885716592,0.0,1,128,20,141,21,89,19,48,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_341.csv,32,0.045649198857165924,0.0,1,8,7,38,6,11,7,4,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_73.csv,33,4.588231589308612e-05,0.0,3,317,23,410,31,150,24,167,39
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_73.csv,33,0.0004588231589308612,0.0,1,174,22,255,27,219,14,79,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_73.csv,33,0.004588231589308612,0.0,2,141,23,255,19,83,14,13,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_73.csv,33,0.045882315893086126,0.0,1,4,3,170,3,179,3,69,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_807.csv,34,4.615751494257588e-05,0.0,5,282,23,266,23,141,17,136,31
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_807.csv,34,0.0004615751494257588,0.0,1,131,19,126,19,96,21,29,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_807.csv,34,0.0046157514942575875,0.0,1,146,17,123,19,106,18,25,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_807.csv,34,0.04615751494257588,0.0,1,51,11,112,10,43,10,21,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_511.csv,35,4.57273689294664e-05,0.0,5,221,18,346,19,308,17,124,32
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_511.csv,35,0.000457273689294664,0.0,1,162,22,106,21,129,22,33,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_511.csv,35,0.00457273689294664,0.0,1,142,21,105,17,84,16,81,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_511.csv,35,0.045727368929466404,0.0,1,55,11,55,13,55,16,11,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_669.csv,36,4.594516168567364e-05,0.0,7,240,24,304,26,169,23,101,31
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_669.csv,36,0.00045945161685673636,0.0,1,181,18,181,24,121,22,28,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_669.csv,36,0.004594516168567364,0.0,2,94,17,260,18,128,20,30,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_669.csv,36,0.04594516168567364,0.0,2,12,9,140,6,140,5,67,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_586.csv,37,4.5406499489902664e-05,0.0,7,76,18,158,13,129,13,40,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_586.csv,37,0.0004540649948990266,0.0,1,155,23,136,25,111,18,54,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_586.csv,37,0.0045406499489902665,0.0,2,98,23,105,15,95,17,28,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_586.csv,37,0.04540649948990266,0.0,1,7,4,53,6,10,6,35,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_149.csv,38,4.574383988937993e-05,0.0,7,72,16,286,17,189,21,58,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_149.csv,38,0.00045743839889379935,0.0,1,142,21,161,24,77,16,73,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_149.csv,38,0.004574383988937994,0.0,1,127,21,160,19,158,22,20,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_149.csv,38,0.04574383988937994,0.0,1,10,6,92,8,13,6,23,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_711.csv,39,4.581060276364757e-05,0.0,5,73,19,341,17,111,20,79,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_711.csv,39,0.0004581060276364757,0.0,1,138,18,168,22,127,18,60,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_711.csv,39,0.004581060276364757,0.0,1,104,19,135,21,86,15,48,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_711.csv,39,0.04581060276364757,0.0,2,9,6,113,9,79,5,15,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_908.csv,40,4.578438673546215e-05,0.0,3,76,20,413,26,160,19,205,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_908.csv,40,0.00045784386735462154,0.0,1,130,20,239,19,259,17,95,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_908.csv,40,0.004578438673546215,0.0,1,104,16,224,19,89,14,22,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_908.csv,40,0.04578438673546215,0.0,1,6,3,225,4,296,4,6,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_263.csv,41,4.596789183609445e-05,0.0,7,172,13,302,19,110,16,88,34
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_263.csv,41,0.0004596789183609445,0.0,1,123,19,218,23,220,24,22,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_263.csv,41,0.004596789183609445,0.0,1,105,17,231,15,97,20,34,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_263.csv,41,0.045967891836094454,0.0,3,5,3,173,3,233,3,143,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_573.csv,42,4.577538534477886e-05,0.0,3,221,19,304,31,240,33,137,41
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_573.csv,42,0.0004577538534477886,0.0,1,132,20,280,23,121,22,77,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_573.csv,42,0.0045775385344778855,0.0,2,76,14,263,18,131,15,18,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_573.csv,42,0.04577538534477886,0.0,1,13,9,9,8,10,7,10,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,43,4.566002143272144e-05,0.0,6,206,19,132,17,96,22,59,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,43,0.00045660021432721444,0.0,1,213,20,100,16,101,21,38,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,43,0.004566002143272145,0.0,1,148,20,54,17,85,14,57,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,43,0.045660021432721444,0.0,1,14,7,22,5,33,5,9,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_184.csv,44,4.5942507380120904e-05,0.0,7,151,11,546,14,91,17,130,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_184.csv,44,0.000459425073801209,0.0,1,177,20,189,19,132,24,71,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_184.csv,44,0.00459425073801209,0.0,1,334,14,177,17,117,18,43,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_184.csv,44,0.0459425073801209,0.0,1,22,8,8,7,10,7,4,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,45,4.5700705275396596e-05,0.0,9,202,24,461,17,267,16,161,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,45,0.0004570070527539659,0.0,1,146,22,253,27,123,16,104,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,45,0.004570070527539659,0.0,1,122,13,210,14,88,14,67,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_223.csv,45,0.045700705275396596,0.0,1,14,5,104,4,7,5,18,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_82.csv,46,4.5685460319000264e-05,0.0,4,127,16,214,15,54,13,41,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_82.csv,46,0.0004568546031900026,0.0,2,238,21,139,18,70,16,44,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_82.csv,46,0.004568546031900026,0.0,1,142,15,60,15,64,15,32,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_82.csv,46,0.04568546031900026,0.0,1,37,8,39,7,30,9,10,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_384.csv,47,4.553977908030309e-05,0.0,2,158,24,280,21,110,19,61,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_384.csv,47,0.0004553977908030309,0.0,1,177,21,198,14,161,17,30,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_384.csv,47,0.004553977908030309,0.0,1,86,15,162,15,46,11,17,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_384.csv,47,0.04553977908030309,0.0,1,7,6,87,6,105,6,7,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_441.csv,48,4.572057560045495e-05,0.0,8,372,28,343,19,281,18,248,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_441.csv,48,0.0004572057560045495,0.0,1,247,17,198,23,127,20,53,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_441.csv,48,0.004572057560045495,0.0,1,162,17,204,19,268,16,45,15
